Date,Time,Booking ID,BookingStatus,CustomerID,VehicleType,PickupLocation,DropLocation,AvgVTAT,AvgCTAT,CancelledRidesbyCustomer,Reasonforcancelling byCustomer,CancelledRidesbyDriver,Reasonforcancelling byDriver,IncompleteRides,IncompleteRidesReason,BookingValue,RideDistance,DriverRatings,Customer Rating
15-02-2025,06:44,CNR4384435603,Success,CUST50565,Prime Sedan,KR Puram,Hennur,6.9,5.9,NA,NA,NA,NA,NA,NA,1053.65,19.71,3.5,4
14-02-2025,16:08,CNR2366377380,Cancelled by Customer,CUST32044,eBike,Basavanagudi,JP Nagar,NA,NA,1,AC is not working,NA,NA,NA,NA,NA,NA,0,NA
02-02-2025,10:07,CNR1492886932,Cancelled by Driver,CUST72787,Auto,Ulsoor,Vijayanagar,NA,NA,NA,NA,1,Customer related issue,NA,NA,NA,NA,0,NA
14-02-2025,04:07,CNR8793805403,Success,CUST47026,Prime SUV,Kadubeesanahalli,Banerghatta,7.85,12.4,NA,NA,NA,NA,NA,NA,353.26,16.31,4.6,3.3
16-02-2025,10:50,CNR8121959315,Cancelled by Driver,CUST59171,Prime Plus,Kengeri,Rajajinagar,NA,NA,NA,NA,1,The customer was coughing/sick,NA,NA,NA,NA,0,NA
15-02-2025,10:45,CNR5927733987,Success,CUST26690,Bike,Shivajinagar,Laggere,4,6.14,NA,NA,NA,NA,NA,NA,669.69,5.28,4,3.7
25-02-2025,23:15,CNR1415394310,Success,CUST48004,Auto,Vijayanagar,Kadubeesanahalli,3.85,7.95,NA,NA,NA,NA,NA,NA,285.66,17.88,4.5,3.6
22-02-2025,04:17,CNR9333305502,Cancelled by Customer,CUST13462,eBike,BTM Layout,Sarvagnanagar,NA,NA,1,Change of plans,NA,NA,NA,NA,NA,NA,0,NA
02-02-2025,02:29,CNR6476730530,Success,CUST74991,Prime SUV,Kengeri,Girinagar,7.36,11.49,NA,NA,NA,NA,NA,NA,669.17,13.55,3.4,3.3
20-02-2025,04:55,CNR6055506683,Incomplete,CUST50854,eBike,Richmond Town,Marathahalli,NA,NA,NA,NA,NA,NA,1,Vehicle Breakdown,NA,NA,0,NA
24-02-2025,14:40,CNR6011632083,Success,CUST82525,Bike,Girinagar,Whitefield,4.32,11.16,NA,NA,NA,NA,NA,NA,353.19,14.16,4,4.4
28-02-2025,18:18,CNR3275743358,Success,CUST14955,Bike,RT Nagar,Malleshwaram,8.84,11.82,NA,NA,NA,NA,NA,NA,406.95,7.22,3.7,3.8
14-02-2025,17:48,CNR2907846481,Success,CUST51233,Prime SUV,Whitefield,Rajajinagar,8.92,11.89,NA,NA,NA,NA,NA,NA,252.05,3.43,3.7,3.4
16-02-2025,06:24,CNR6486902708,Success,CUST38892,Mini,Kadubeesanahalli,Ulsoor,3.04,10.42,NA,NA,NA,NA,NA,NA,942.15,13.41,4.3,3.6
04-02-2025,22:33,CNR6388227075,Success,CUST93680,Prime Sedan,Girinagar,KR Puram,3.37,12.43,NA,NA,NA,NA,NA,NA,319.06,14.77,4.3,4.9
16-02-2025,10:25,CNR9250563932,Success,CUST84845,Prime SUV,Padmanabhanagar,Sanjay Nagar,8.76,5.44,NA,NA,NA,NA,NA,NA,766.99,10.43,4.3,4.5
15-02-2025,18:59,CNR9643709825,Success,CUST90261,Bike,Hebbal,Horamavu,7.99,5.49,NA,NA,NA,NA,NA,NA,517.7,3.64,3.5,3.2
18-02-2025,10:56,CNR8492085612,Success,CUST41030,Auto,Basavanagudi,Nelamangala,4.26,14.55,NA,NA,NA,NA,NA,NA,245.86,16.12,4.6,3.2
09-02-2025,19:16,CNR4744246154,Success,CUST37686,Mini,BTM Layout,Basavanagudi,5.86,6.4,NA,NA,NA,NA,NA,NA,997.3,8.81,3.6,4.7
22-02-2025,21:29,CNR4360895778,Success,CUST81967,Prime SUV,Jakkur,BTM Layout,8.35,11.49,NA,NA,NA,NA,NA,NA,440.43,16.09,3.2,4.5
10-02-2025,03:23,CNR6409385093,Success,CUST18440,eBike,Malleshwaram,Girinagar,3.33,10.54,NA,NA,NA,NA,NA,NA,571.98,12.33,4.4,4.2
06-02-2025,18:27,CNR5697095505,Success,CUST56112,Bike,Bannerghatta Road,Domlur,8.91,13.41,NA,NA,NA,NA,NA,NA,1400.97,4.16,3.1,4.6
14-02-2025,02:03,CNR4551711096,Success,CUST42802,Prime SUV,Sarvagnanagar,Yeshwanthpur,9.4,9.85,NA,NA,NA,NA,NA,NA,719.5,15.79,4,4.2
06-02-2025,19:09,CNR7988808902,Success,CUST23200,Auto,RT Nagar,Yeshwanthpur,8.4,11.73,NA,NA,NA,NA,NA,NA,177.05,3.96,3.9,4.9
13-02-2025,19:56,CNR3332243601,Incomplete,CUST33907,Prime SUV,Whitefield,Girinagar,NA,NA,NA,NA,NA,NA,1,Vehicle Breakdown,NA,NA,0,NA
11-02-2025,02:41,CNR5102754480,Success,CUST93031,Prime Plus,Horamavu,Whitefield,6.62,11.23,NA,NA,NA,NA,NA,NA,252.02,4.88,4.5,4.3
02-02-2025,18:41,CNR6203758439,Success,CUST62151,Prime Plus,Basavanagudi,Domlur,5.05,6.01,NA,NA,NA,NA,NA,NA,551.29,2.69,3.1,4.2
02-02-2025,01:53,CNR3731408825,Success,CUST66198,eBike,Kaval Byrasandra,Bannerghatta Road,7.71,7.18,NA,NA,NA,NA,NA,NA,743.64,17.43,4.7,4.8
24-02-2025,12:13,CNR1705602910,Incomplete,CUST23248,Bike,HSR Layout,Frazer Town,NA,NA,NA,NA,NA,NA,1,Customer Demand,NA,NA,0,NA
15-02-2025,19:11,CNR4035052110,Cancelled by Driver,CUST11437,Bike,Arekere,Hebbal,NA,NA,NA,NA,1,More than permitted people in there,NA,NA,NA,NA,0,NA
03-02-2025,03:45,CNR1068737307,Success,CUST30502,Mini,Arekere,Indiranagar,5.25,11.47,NA,NA,NA,NA,NA,NA,373.76,7.94,4.9,3.4
16-02-2025,21:35,CNR1663094011,Incomplete,CUST58696,Bike,Nelamangala,Kaval Byrasandra,NA,NA,NA,NA,NA,NA,1,Customer Demand,NA,NA,0,NA
13-02-2025,15:59,CNR6527676971,Cancelled by Driver,CUST97373,Bike,Yelahanka,Horamavu,NA,NA,NA,NA,1,Personal & Car related issues,NA,NA,NA,NA,0,NA
21-02-2025,07:39,CNR1768060442,Success,CUST13875,Prime Sedan,Koramangala,Sanjay Nagar,7.29,8.14,NA,NA,NA,NA,NA,NA,589.08,7.61,3.9,4.5
19-02-2025,22:32,CNR8902923802,Success,CUST15918,Prime Plus,Domlur,Sarvagnanagar,4.04,13.98,NA,NA,NA,NA,NA,NA,195.86,7.97,3,4.4
18-02-2025,11:00,CNR3910953049,Cancelled by Driver,CUST13727,Bike,Shivajinagar,Sanjay Nagar,NA,NA,NA,NA,1,Customer related issue,NA,NA,NA,NA,0,NA
28-02-2025,13:26,CNR8044522495,Success,CUST57793,Prime SUV,Bommanahalli,Shivajinagar,5.69,5.71,NA,NA,NA,NA,NA,NA,160.8,6.83,4.9,4.7
24-02-2025,04:18,CNR1062003036,Incomplete,CUST44545,Mini,Kaval Byrasandra,Arekere,NA,NA,NA,NA,NA,NA,1,Vehicle Breakdown,NA,NA,0,NA
25-02-2025,23:35,CNR1262984274,Success,CUST34823,Auto,Banerghatta,Electronic City,9.11,6.71,NA,NA,NA,NA,NA,NA,486.29,4.61,4.8,3.4
15-02-2025,00:52,CNR4075157876,Success,CUST69099,Prime SUV,Kadubeesanahalli,Marathahalli,7.61,6,NA,NA,NA,NA,NA,NA,814.35,4.91,3.3,3.3
25-02-2025,14:12,CNR1828436064,Success,CUST48979,Mini,Bannerghatta Road,Kadubeesanahalli,3.78,6.85,NA,NA,NA,NA,NA,NA,453.12,16.29,4.8,4.9
05-02-2025,11:07,CNR4483839886,Cancelled by Driver,CUST40003,Mini,Domlur,Padmanabhanagar,NA,NA,NA,NA,1,The customer was coughing/sick,NA,NA,NA,NA,0,NA
21-02-2025,21:27,CNR3012411439,Success,CUST38453,eBike,Frazer Town,Banerghatta,7.86,9.5,NA,NA,NA,NA,NA,NA,316.24,14.24,4.2,3.1
25-02-2025,07:05,CNR6723490662,Cancelled by Driver,CUST90055,eBike,Electronic City,Peenya,NA,NA,NA,NA,1,More than permitted people in there,NA,NA,NA,NA,0,NA
08-02-2025,10:57,CNR3737349412,Success,CUST48751,Mini,Laggere,Girinagar,5.2,10.57,NA,NA,NA,NA,NA,NA,773.42,17.66,3.3,4.5
05-02-2025,02:24,CNR2234630841,Cancelled by Customer,CUST80965,Prime Sedan,Magadi Road,Jakkur,NA,NA,1,Wrong Address,NA,NA,NA,NA,NA,NA,0,NA
25-02-2025,18:05,CNR8012499708,Success,CUST22829,eBike,Bellandur,Basavanagudi,3.79,12.86,NA,NA,NA,NA,NA,NA,699.24,10.2,3.7,4.2
27-02-2025,17:07,CNR2232853001,Success,CUST97696,Auto,Jakkur,Sarvagnanagar,3.02,5.49,NA,NA,NA,NA,NA,NA,131.15,2.26,4.6,3.8
02-02-2025,22:36,CNR5864832627,Success,CUST96530,Prime Sedan,Whitefield,Vijayanagar,9.27,14.49,NA,NA,NA,NA,NA,NA,740.89,17.45,4.3,3
15-02-2025,11:45,CNR9201985542,Cancelled by Driver,CUST35799,Bike,MG Road,Domlur,NA,NA,NA,NA,1,Personal & Car related issues,NA,NA,NA,NA,0,NA
15-02-2025,21:15,CNR7125486957,Success,CUST50572,Mini,Richmond Town,Nelamangala,4.33,14.21,NA,NA,NA,NA,NA,NA,1065.73,18.48,4.5,4.1
23-02-2025,16:26,CNR4964565852,Success,CUST20795,eBike,Hennur,Banerghatta,7.16,9.22,NA,NA,NA,NA,NA,NA,917.91,17.15,4.2,3
02-02-2025,17:08,CNR9008079455,Success,CUST94259,Auto,Frazer Town,Jayanagar,7.35,8.34,NA,NA,NA,NA,NA,NA,341.65,19.99,3.7,3.7
16-02-2025,01:18,CNR6172094066,Success,CUST54316,Mini,HSR Layout,Peenya,4.85,7.02,NA,NA,NA,NA,NA,NA,435.42,15.29,4.6,4.2
10-02-2025,13:45,CNR3314941492,Success,CUST99275,Auto,JP Nagar,RT Nagar,9.02,10.62,NA,NA,NA,NA,NA,NA,619.97,10.82,3.7,3.6
12-02-2025,07:54,CNR5009937589,Success,CUST61197,Bike,Arekere,Frazer Town,8.29,12.62,NA,NA,NA,NA,NA,NA,207.17,17.87,4.6,5
06-02-2025,23:01,CNR9216986721,Cancelled by Driver,CUST24097,Mini,Banashankari,BTM Layout,NA,NA,NA,NA,1,Customer related issue,NA,NA,NA,NA,0,NA
10-02-2025,00:06,CNR2719862647,Success,CUST93345,Prime SUV,Attiguppe,Jayanagar,4.58,10.63,NA,NA,NA,NA,NA,NA,314.45,19.54,4.8,3.7
02-02-2025,16:36,CNR3153698514,Incomplete,CUST71410,Auto,Nagarbhavi,Bannerghatta Road,NA,NA,NA,NA,NA,NA,1,Customer Demand,NA,NA,0,NA
10-02-2025,14:02,CNR8896497050,Success,CUST10019,Prime Plus,Kengeri,Frazer Town,8.88,14.84,NA,NA,NA,NA,NA,NA,275.66,7.79,3.5,3.1
04-02-2025,00:49,CNR8914682305,Success,CUST15428,eBike,Sarvagnanagar,Hosur Road,5.85,11.09,NA,NA,NA,NA,NA,NA,278.84,12.26,3.3,4.9
27-02-2025,15:44,CNR4383656210,Success,CUST21202,Prime Plus,Ulsoor,Bannerghatta Road,6.77,6.92,NA,NA,NA,NA,NA,NA,377,18.89,4.6,4.7
10-02-2025,21:45,CNR2355976688,Success,CUST79709,Auto,Kengeri,BTM Layout,5.27,7.25,NA,NA,NA,NA,NA,NA,326.96,5.01,3.9,4.2
24-02-2025,14:35,CNR9562150591,Incomplete,CUST79483,Prime Sedan,Arekere,Vijayanagar,NA,NA,NA,NA,NA,NA,1,Vehicle Breakdown,NA,NA,0,NA
14-02-2025,00:58,CNR4706979609,Success,CUST71300,Mini,Sanjay Nagar,Peenya,5.85,14.02,NA,NA,NA,NA,NA,NA,231.5,16.27,4.7,4.8
05-02-2025,17:29,CNR4352320185,Success,CUST87292,eBike,Magadi Road,Domlur,5.23,12.38,NA,NA,NA,NA,NA,NA,174.34,3.64,3.8,3.3
13-02-2025,08:43,CNR4054950015,Cancelled by Customer,CUST28621,Prime Plus,Malleshwaram,Whitefield,NA,NA,1,Change of plans,NA,NA,NA,NA,NA,NA,0,NA
09-02-2025,23:34,CNR5728209823,Success,CUST40126,Prime Plus,Attiguppe,Sarvagnanagar,7.92,11.24,NA,NA,NA,NA,NA,NA,508.48,19.44,4.3,3.3
26-02-2025,07:14,CNR1068166498,Success,CUST74800,Prime SUV,HSR Layout,Kengeri,7.48,5.71,NA,NA,NA,NA,NA,NA,259.87,8.31,4.2,3.1
02-02-2025,06:23,CNR2531127256,Incomplete,CUST93752,Bike,Kengeri,Sarvagnanagar,NA,NA,NA,NA,NA,NA,1,Customer Demand,NA,NA,0,NA
02-02-2025,03:49,CNR5028810118,Cancelled by Driver,CUST18272,Prime SUV,Banerghatta,Arekere,NA,NA,NA,NA,1,The customer was coughing/sick,NA,NA,NA,NA,0,NA
16-02-2025,02:06,CNR5191391789,Success,CUST38598,Bike,Sarvagnanagar,Hennur,5.22,12.88,NA,NA,NA,NA,NA,NA,1167.35,8.26,4.2,3.9
04-02-2025,01:33,CNR6998258652,Cancelled by Driver,CUST49600,Prime Plus,MG Road,Malleshwaram,NA,NA,NA,NA,1,Personal & Car related issues,NA,NA,NA,NA,0,NA
18-02-2025,18:00,CNR9399398449,Success,CUST40522,Prime Plus,Bommanahalli,Horamavu,9.69,13.85,NA,NA,NA,NA,NA,NA,897.85,15.83,4.6,3.6
19-02-2025,00:11,CNR7219642256,Cancelled by Driver,CUST16123,Prime SUV,Hennur,Sarvagnanagar,NA,NA,NA,NA,1,Customer related issue,NA,NA,NA,NA,0,NA
24-02-2025,10:23,CNR4315353014,Success,CUST53802,Prime Sedan,Banerghatta,Marathahalli,7.88,7.56,NA,NA,NA,NA,NA,NA,649.9,10.19,4.6,4.3
08-02-2025,15:40,CNR4294769521,Cancelled by Driver,CUST87385,Prime Plus,Frazer Town,MG Road,NA,NA,NA,NA,1,The customer was coughing/sick,NA,NA,NA,NA,0,NA
28-02-2025,14:48,CNR2674348801,Success,CUST86561,Prime Plus,Rajajinagar,Domlur,8.89,6.84,NA,NA,NA,NA,NA,NA,304,8.67,3.7,4.5
16-02-2025,06:56,CNR9296862758,Cancelled by Customer,CUST30123,Auto,Jakkur,Magadi Road,NA,NA,1,AC is not working,NA,NA,NA,NA,NA,NA,0,NA
17-02-2025,00:34,CNR9826102246,Cancelled by Customer,CUST55042,Bike,Vijayanagar,Banerghatta,NA,NA,1,AC is not working,NA,NA,NA,NA,NA,NA,0,NA
25-02-2025,17:53,CNR8215915500,Success,CUST11964,Bike,Koramangala,Vijayanagar,7.87,9.98,NA,NA,NA,NA,NA,NA,333.2,13.28,3.2,4.5
19-02-2025,19:00,CNR2966436559,Success,CUST88982,Prime Sedan,Hebbal,Richmond Town,3.12,13.41,NA,NA,NA,NA,NA,NA,421.14,6.2,4,3.5
11-02-2025,23:18,CNR6764872650,Success,CUST70351,Prime Sedan,Hebbal,Cooke Town,9.7,12.34,NA,NA,NA,NA,NA,NA,386.17,11.27,4.9,4.6
14-02-2025,16:47,CNR7107915688,Cancelled by Driver,CUST35980,Mini,Electronic City,RT Nagar,NA,NA,NA,NA,1,Customer related issue,NA,NA,NA,NA,0,NA
21-02-2025,06:14,CNR9432233138,Incomplete,CUST70606,Prime Sedan,Jayanagar,Bellandur,NA,NA,NA,NA,NA,NA,1,Customer Demand,NA,NA,0,NA
08-02-2025,21:07,CNR7981877852,Success,CUST25816,Prime SUV,Shivajinagar,Shivajinagar,7,5.93,NA,NA,NA,NA,NA,NA,1064.45,11.08,3.6,4.1
12-02-2025,06:52,CNR8719256460,Success,CUST28308,Prime SUV,Padmanabhanagar,Sarjapur,3.99,12.73,NA,NA,NA,NA,NA,NA,239.76,11.71,4.4,4.5
21-02-2025,14:48,CNR4270692995,Cancelled by Driver,CUST32745,Auto,Magadi Road,Cooke Town,NA,NA,NA,NA,1,The customer was coughing/sick,NA,NA,NA,NA,0,NA
22-02-2025,05:27,CNR5067020864,Success,CUST42612,Prime SUV,Frazer Town,Hosur Road,3.17,13.01,NA,NA,NA,NA,NA,NA,679.43,14.08,3.6,4.4
10-02-2025,07:37,CNR3982111895,Success,CUST68106,Auto,Kengeri,Kaval Byrasandra,4.52,9.43,NA,NA,NA,NA,NA,NA,489.21,9.86,4.3,4.5
23-02-2025,08:15,CNR5875220496,Cancelled by Driver,CUST62642,Mini,Electronic City,Padmanabhanagar,NA,NA,NA,NA,1,Personal & Car related issues,NA,NA,NA,NA,0,NA
16-02-2025,14:24,CNR5903499671,Cancelled by Driver,CUST72120,Prime Plus,Sanjay Nagar,Bannerghatta Road,NA,NA,NA,NA,1,Personal & Car related issues,NA,NA,NA,NA,0,NA
15-02-2025,04:07,CNR4850042281,Success,CUST65098,Prime SUV,Bellandur,Cooke Town,7.84,13.54,NA,NA,NA,NA,NA,NA,1075.87,13.76,4.6,4.8
11-02-2025,11:48,CNR8104718344,Success,CUST61968,Mini,Electronic City,Sanjay Nagar,5.81,11.54,NA,NA,NA,NA,NA,NA,265.94,5.79,4.9,3.1
27-02-2025,21:24,CNR3409445362,Cancelled by Driver,CUST76608,eBike,Indiranagar,Magadi Road,NA,NA,NA,NA,1,Personal & Car related issues,NA,NA,NA,NA,0,NA
17-02-2025,01:39,CNR8382290737,Success,CUST12076,eBike,Marathahalli,Bellandur,7.95,11.92,NA,NA,NA,NA,NA,NA,785.03,7.1,3.4,4.9
23-02-2025,19:02,CNR4405127291,Cancelled by Driver,CUST30215,Mini,Kadubeesanahalli,Attiguppe,NA,NA,NA,NA,1,More than permitted people in there,NA,NA,NA,NA,0,NA
01-02-2025,01:20,CNR9167931126,Success,CUST46048,Auto,Nagarbhavi,Cooke Town,3.75,10.94,NA,NA,NA,NA,NA,NA,1081.83,1.48,3.8,3.8
05-02-2025,13:34,CNR4533265844,Success,CUST11355,Prime SUV,Koramangala,Kengeri,8.22,11.8,NA,NA,NA,NA,NA,NA,194.24,9.17,4.6,4.8
15-02-2025,12:08,CNR7662541288,Success,CUST22890,eBike,Indiranagar,Ulsoor,5.6,8.53,NA,NA,NA,NA,NA,NA,812.69,6,4.6,4
13-02-2025,15:29,CNR9016641731,Incomplete,CUST88553,Prime SUV,Laggere,Vijayanagar,NA,NA,NA,NA,NA,NA,1,Other Issue,NA,NA,0,NA
06-02-2025,01:19,CNR1934401325,Success,CUST87155,Prime Sedan,MG Road,Banashankari,9.8,5.12,NA,NA,NA,NA,NA,NA,712.42,6.21,3.9,4.7
06-02-2025,01:21,CNR2205287145,Incomplete,CUST22182,Prime Plus,MG Road,Laggere,NA,NA,NA,NA,NA,NA,1,Other Issue,NA,NA,0,NA
20-02-2025,09:16,CNR9115304116,Success,CUST75804,Prime SUV,Bellandur,Kaval Byrasandra,4.87,13.02,NA,NA,NA,NA,NA,NA,399.57,14.91,3.1,4.3
11-02-2025,22:52,CNR1831025293,Success,CUST48407,eBike,Vijayanagar,Bellandur,7.61,5.28,NA,NA,NA,NA,NA,NA,485.28,2.89,3.5,4.7
12-02-2025,09:34,CNR5848740737,Incomplete,CUST90453,eBike,Hennur,Horamavu,NA,NA,NA,NA,NA,NA,1,Other Issue,NA,NA,0,NA
19-02-2025,00:25,CNR5702773199,Incomplete,CUST46735,Mini,Kaval Byrasandra,Bommanahalli,NA,NA,NA,NA,NA,NA,1,Customer Demand,NA,NA,0,NA
27-02-2025,15:43,CNR7238775811,Success,CUST58401,Prime Sedan,Indiranagar,Marathahalli,5.37,7.44,NA,NA,NA,NA,NA,NA,168.9,7.56,3,3.4
24-02-2025,23:20,CNR6974714428,Success,CUST85342,Bike,Kengeri,Yelahanka,5.85,5.42,NA,NA,NA,NA,NA,NA,318.53,8.42,4.6,5
11-02-2025,01:34,CNR5994951073,Incomplete,CUST97147,Mini,Sarjapur,Arekere,NA,NA,NA,NA,NA,NA,1,Customer Demand,NA,NA,0,NA
28-02-2025,01:39,CNR1497245169,Success,CUST89560,eBike,Rajajinagar,Nagarbhavi,4.34,10.87,NA,NA,NA,NA,NA,NA,351.02,17.37,3.3,3.2
04-02-2025,19:16,CNR6099080113,Incomplete,CUST14604,Prime Sedan,Arekere,Hennur,NA,NA,NA,NA,NA,NA,1,Customer Demand,NA,NA,0,NA
09-02-2025,16:32,CNR9810766475,Cancelled by Driver,CUST58944,Prime Plus,Banerghatta,Girinagar,NA,NA,NA,NA,1,Personal & Car related issues,NA,NA,NA,NA,0,NA
14-02-2025,02:00,CNR7174662402,Incomplete,CUST43698,Auto,Attiguppe,Ulsoor,NA,NA,NA,NA,NA,NA,1,Vehicle Breakdown,NA,NA,0,NA
03-02-2025,00:59,CNR9983473249,Success,CUST86165,Mini,Padmanabhanagar,Yeshwanthpur,4.28,11.65,NA,NA,NA,NA,NA,NA,972.03,7.03,3.5,4.4
26-02-2025,11:17,CNR7352606499,Success,CUST99200,Mini,Whitefield,Bannerghatta Road,9.51,11.98,NA,NA,NA,NA,NA,NA,170.27,5.06,3.7,3.9
07-02-2025,18:54,CNR7882554806,Success,CUST19360,eBike,Richmond Town,Hosur Road,5.49,13.72,NA,NA,NA,NA,NA,NA,143.09,6.83,3.9,3
18-02-2025,08:23,CNR5579635216,Success,CUST86050,Auto,Kadubeesanahalli,Vijayanagar,5.62,7.17,NA,NA,NA,NA,NA,NA,469.4,10.12,3.7,4.6
12-02-2025,12:42,CNR3515141244,Success,CUST43211,Prime Plus,Nagarbhavi,Nelamangala,4.66,5.97,NA,NA,NA,NA,NA,NA,341.41,3.49,3.8,3.8
16-02-2025,22:16,CNR1912906182,Success,CUST98905,eBike,HSR Layout,Yelahanka,5.95,8.86,NA,NA,NA,NA,NA,NA,1018.73,11.83,4.5,3.6
21-02-2025,14:56,CNR6308762761,Success,CUST11452,Bike,Magadi Road,Yelahanka,9.59,6.55,NA,NA,NA,NA,NA,NA,751.7,3.23,4.9,3.1
28-02-2025,03:12,CNR8104637505,Cancelled by Customer,CUST54571,Auto,Hennur,Peenya,NA,NA,1,Wrong Address,NA,NA,NA,NA,NA,NA,0,NA
